COLOR,x,STATION_NAME,STATION_ID,LAT,LON
Pink,7,54th/Cermak,40580,41.85177331,-87.75669201,0,
Pink,7,Adams/Wabash,40680,41.879507,-87.626037
Pink,7,Ashland (Green/Pink),40170,41.885269,-87.666969
Pink,7,California (Pink),40440,41.854109,-87.694774
Pink,7,Central Park,40780,41.853839,-87.714842
Pink,7,Cicero (Pink),40420,41.85182,-87.745336
Pink,7,Clark/Lake,40380,41.885737,-87.630886
Pink,7,Clinton (Green/Pink),41160,41.885678,-87.641782
Pink,7,Damen (Pink),40210,41.854517,-87.675975
Pink,7,Harold Washington Library-State/Van Buren,40850,41.876862,-87.628196
Pink,7,Kedzie (Pink),41040,41.853964,-87.705408
Pink,7,Kostner,40600,41.853751,-87.733258
Pink,7,LaSalle/Van Buren,40160,41.8768,-87.631739
Pink,7,Morgan (Green/Pink),41510,41.88557676,-87.65212993
Pink,7,Polk,41030,41.871551,-87.66953
Pink,7,Pulaski (Pink),40150,41.853732,-87.724311
Pink,7,Quincy,40040,41.878723,-87.63374
Pink,7,State/Lake (Loop 'L'),40260,41.88574,-87.627835
Pink,7,Washington/Wabash,41700,41.88322,-87.626189
Pink,7,Washington/Wells,40730,41.882695,-87.63378
Pink,7,Western (Pink),40740,41.854225,-87.685129
Purple,7,Adams/Wabash,40680,41.879507,-87.626037
Purple,7,Armitage (Brown/Purple),40660,41.918217,-87.652644
Purple,7,Belmont (Red/Brown/Purple),41320,41.939751,-87.65338
Purple,7,Central (Purple),41250,42.063987,-87.685617
Purple,7,Chicago (Brown/Purple),40710,41.89681,-87.635924
Purple,7,Clark/Lake,40380,41.885737,-87.630886
Purple,7,Davis,40050,42.04771,-87.683543
Purple,7,Dempster,40690,42.041655,-87.681602
Purple,7,Diversey (Brown/Purple),40530,41.932732,-87.653131
Purple,7,Foster,40520,42.05416,-87.68356
Purple,7,Fullerton,41220,41.9253003719,-87.6528684398
Purple,7,Harold Washington Library-State/Van Buren,40850,41.876862,-87.628196
Purple,7,Howard,40900,42.019063,-87.672892
Purple,7,LaSalle/Van Buren,40160,41.8768,-87.631739
Purple,7,Linden,41050,42.073153,-87.69073
Purple,7,Main,40270,42.033456,-87.679538
Purple,7,Merchandise Mart (Brown/Purple),40460,41.888969,-87.633924
Purple,7,Noyes,40400,42.058282,-87.683337
Purple,7,Quincy,40040,41.878723,-87.63374
Purple,7,Sedgwick (Brown/Purple),40800,41.910409,-87.639302
Purple,7,South Boulevard,40840,42.027612,-87.678329
Purple,7,State/Lake (Loop 'L'),40260,41.88574,-87.627835
Purple,7,Washington/Wabash,41700,41.88322,-87.626189
Purple,7,Washington/Wells,40730,41.882695,-87.63378
Purple,7,Wellington (Brown/Purple),41210,41.936033,-87.653266
Purple,7,Wilson,40540,41.965481568,-87.6579258145
Red,7,47th (Red),41230,41.810318,-87.63094
Red,7,63rd,40910,41.780536,-87.630952
Red,7,69th,40990,41.768367,-87.625724
Red,7,79th,40240,41.750419,-87.625112
Red,7,87th,41430,41.735372,-87.624717
Red,7,95th/Dan Ryan,40450,41.722377,-87.624342
Red,7,Addison (Red),41420,41.947316173,-87.6536241013
Red,7,Argyle,41200,41.9733220506,-87.6585279483
Red,7,Belmont (Red/Brown/Purple),41320,41.939751,-87.65338
Red,7,Berwyn,40340,41.977984,-87.658668
Red,7,Bryn Mawr,41380,41.983504,-87.65884
Red,7,Cermak-Chinatown,41000,41.853206,-87.630968
Red,7,Chicago (Red),41450,41.896671,-87.628176
Red,7,Clark/Division,40630,41.90392,-87.631412
Red,7,Fullerton,41220,41.9253003719,-87.6528684398
Yellow,7,Dempster-Skokie,40140,42.038951,-87.751919
Yellow,7,Howard,40900,42.019063,-87.672892
Yellow,7,Oakton-Skokie,41680,42.02624348,-87.74722084
